Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38
14,45,44,53,30,65,94,82,54,40,65,13,59,30,45,10,4,54,33,87,30,68,31,78,25,8,63,68,46,94,86,27,61,15,17,63,92,63
48,93,54,95,19,82,24,53,99,52,45,11,86,38,95,63,56,45,5,28,50,48,1,43,95,69,69,58,48,29,91,76,3,71,14,2,50,86
14,85,37,11,24,16,32,13,27,56,72,11,28,25,56,72,81,87,50,28,1,99,12,55,99,72,49,60,99,16,65,25,31,85,63,18,99,85
93,26,39,40,70,47,29,84,23,54,50,26,49,91,50,88,9,16,98,10,75,22,79,4,99,2,96,61,7,35,89,13,2,28,92,59,25,47
68,71,44,45,86,27,10,85,32,56,92,85,91,56,23,43,27,10,6,72,39,21,11,62,91,23,1,62,85,66,14,92,43,15,71,97,86,0
10,56,34,64,57,54,70,32,44,36,91,33,41,52,36,66,92,30,18,32,3,40,83,12,75,9,48,55,18,47,45,77,10,25,11,84,50,62
4,9,45,77,51,81,97,47,32,61,73,20,28,94,38,0,89,38,12,49,29,9,76,55,94,43,54,67,84,16,30,51,67,69,85,23,86,0
74,72,83,20,53,20,14,42,68,80,40,63,48,27,15,5,68,93,46,96,6,75,25,11,43,61,5,20,60,20,45,88,40,69,86,63,6,93
41,3,28,56,65,95,14,46,98,92,83,40,61,35,99,72,9,91,80,48,76,0,74,41,85,14,47,36,67,72,41,70,83,67,17,26,11,45
61,30,65,11,55,30,12,41,34,94,5,69,1,84,90,78,46,43,90,83,92,99,30,5,69,83,4,46,22,91,31,52,82,58,96,21,35,38
38,54,2,42,90,37,6,9,78,99,36,33,19,9,60,41,93,0,75,26,64,62,26,99,7,80,59,26,79,10,40,81,68,61,18,6,56,84
27,96,80,20,27,84,77,71,18,87,38,46,90,27,56,57,90,68,64,43,21,57,77,74,73,9,88,88,34,51,14,25,92,75,55,95,99,72
11,35,53,21,82,92,54,0,19,37,78,58,96,70,2,98,28,94,86,41,7,24,64,19,95,50,93,98,31,52,27,5,60,71,71,12,58,18
